Frame,Running Gait Cycle,Sub Phase,% Cycle,Trunk Lean,Front Knee Angle,Back Knee Angle,Front Hip Angle,Angle Each Body %,Result
42,4,Terminal Stance,77.38%,6.78 (Accurate ),80.07 (Inaccurate ),50.28 (Accurate ),22.58 (Inaccurate ),50.0 % ,Satisfactory
43,4,Terminal Swing,23.26%,10.17 (Accurate ),132.98 (Accurate ),53.8 (Accurate ),43.94 (Accurate ),100.0 % ,Good
44,5,Terminal Stance,77.27%,10.11 (Accurate ),143.37 (Inaccurate ),45.45 (Accurate ),66.58 (Accurate ),75.0 % ,Good
45,5,Terminal Stance,77.78%,4.43 (Accurate ),141.38 (Inaccurate ),29.02 (Inaccurate ),73.34 (Accurate ),50.0 % ,Satisfactory
46,5,Terminal Stance,78.26%,-1.85 (Inaccurate ),114.29 (Inaccurate ),13.84 (Inaccurate ),69.99 (Accurate ),25.0 % ,Should Improve
47,5,Terminal Stance,78.72%,0.34 (Inaccurate ),76.57 (Inaccurate ),24.48 (Inaccurate ),71.17 (Accurate ),25.0 % ,Should Improve
48,5,Terminal Stance,79.17%,0.55 (Inaccurate ),54.73 (Accurate ),30.96 (Inaccurate ),67.93 (Accurate ),50.0 % ,Satisfactory
49,5,Terminal Stance,79.59%,1.2 (Inaccurate ),33.12 (Inaccurate ),40.28 (Accurate ),64.69 (Accurate ),50.0 % ,Satisfactory
50,5,Terminal Stance,80.0%,1.5 (Inaccurate ),22.07 (Inaccurate ),48.08 (Accurate ),61.6 (Accurate ),50.0 % ,Satisfactory
51,5,Terminal Stance,79.41%,-1.7 (Inaccurate ),14.06 (Inaccurate ),52.32 (Inaccurate ),52.88 (Accurate ),25.0 % ,Should Improve
52,5,Terminal Stance,78.85%,-3.14 (Inaccurate ),15.85 (Inaccurate ),57.72 (Inaccurate ),48.15 (Accurate ),25.0 % ,Should Improve
53,5,Terminal Stance,78.3%,-3.94 (Inaccurate ),24.83 (Inaccurate ),64.43 (Inaccurate ),45.8 (Accurate ),25.0 % ,Should Improve
54,5,Terminal Stance,77.78%,-4.87 (Inaccurate ),25.17 (Inaccurate ),66.89 (Inaccurate ),43.93 (Accurate ),25.0 % ,Should Improve
55,5,Terminal Stance,77.27%,-5.21 (Inaccurate ),25.44 (Inaccurate ),73.97 (Inaccurate ),41.88 (Accurate ),25.0 % ,Should Improve
56,5,Terminal Stance,76.79%,-4.19 (Inaccurate ),34.73 (Inaccurate ),87.84 (Inaccurate ),34.38 (Accurate ),25.0 % ,Should Improve
57,5,Terminal Stance,76.32%,0.44 (Inaccurate ),34.33 (Inaccurate ),111.87 (Accurate ),26.07 (Accurate ),50.0 % ,Satisfactory
58,5,Terminal Stance,75.86%,3.02 (Inaccurate ),48.2 (Accurate ),120.2 (Accurate ),25.92 (Accurate ),75.0 % ,Good
59,5,Terminal Stance,75.42%,4.41 (Accurate ),49.09 (Accurate ),120.94 (Accurate ),27.3 (Accurate ),100.0 % ,Good
60,5,Terminal Stance,75.0%,8.19 (Accurate ),64.18 (Accurate ),128.45 (Accurate ),32.24 (Accurate ),100.0 % ,Good
61,5,Terminal Stance,74.59%,12.91 (Accurate ),62.41 (Accurate ),144.93 (Inaccurate ),27.46 (Accurate ),75.0 % ,Good
62,5,Terminal Stance,74.19%,16.0 (Accurate ),55.59 (Accurate ),150.66 (Inaccurate ),20.54 (Inaccurate ),50.0 % ,Satisfactory
63,5,Terminal Stance,74.6%,17.79 (Accurate ),43.51 (Accurate ),148.2 (Inaccurate ),8.34 (Inaccurate ),50.0 % ,Satisfactory
